pcode,timestamp,label
P40,2019-05-22 02:15:00+09:00,0.0
P40,2019-05-22 02:30:00+09:00,0.0
P40,2019-05-22 02:45:00+09:00,0.0
P40,2019-05-22 03:00:00+09:00,0.0
P40,2019-05-22 03:15:00+09:00,0.0
P40,2019-05-22 03:30:00+09:00,0.0
P40,2019-05-22 03:45:00+09:00,0.0
P40,2019-05-22 04:00:00+09:00,0.0
P40,2019-05-22 04:15:00+09:00,0.0
P40,2019-05-22 04:30:00+09:00,0.0
P40,2019-05-22 04:45:00+09:00,0.0
P40,2019-05-22 05:00:00+09:00,0.0
P40,2019-05-22 05:15:00+09:00,0.0
P40,2019-05-22 05:30:00+09:00,0.0
P40,2019-05-22 05:45:00+09:00,0.0
P40,2019-05-22 06:00:00+09:00,0.0
P40,2019-05-22 06:15:00+09:00,0.0
P40,2019-05-22 06:30:00+09:00,0.0
P40,2019-05-22 06:45:00+09:00,0.0
P40,2019-05-22 07:00:00+09:00,0.0
P40,2019-05-22 07:15:00+09:00,0.0
P40,2019-05-22 07:30:00+09:00,0.0
P40,2019-05-22 07:45:00+09:00,0.0
P40,2019-05-22 08:00:00+09:00,0.0
P40,2019-05-22 08:15:00+09:00,0.0
P40,2019-05-22 08:30:00+09:00,0.0
P40,2019-05-22 08:45:00+09:00,0.0
P40,2019-05-22 09:00:00+09:00,0.0
P40,2019-05-22 09:15:00+09:00,0.0
P40,2019-05-22 09:30:00+09:00,0.0
P40,2019-05-22 09:45:00+09:00,48.0
P40,2019-05-22 10:00:00+09:00,284.0
P40,2019-05-22 10:15:00+09:00,236.0
P40,2019-05-22 10:30:00+09:00,184.0
P40,2019-05-22 10:45:00+09:00,62.0
P40,2019-05-22 11:00:00+09:00,84.0
P40,2019-05-22 11:15:00+09:00,42.0
P40,2019-05-22 11:30:00+09:00,0.0
P40,2019-05-22 11:45:00+09:00,14.0
P40,2019-05-22 12:00:00+09:00,176.0
P40,2019-05-22 12:15:00+09:00,440.0
P40,2019-05-22 12:30:00+09:00,0.0
P40,2019-05-22 12:45:00+09:00,220.0
